;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
356;2;32;sgd;0.0005;50;16;0.2;0.04;0.2;0.0667
357;2;32;sgd;0.0005;100;16;0.2;0.04;0.2;0.0667
358;2;32;sgd;0.0005;150;16;0.2;0.04;0.2;0.0667
359;2;32;sgd;0.0005;200;16;0.2;0.04;0.2;0.0667
360;2;48;adam;0.01;50;16;0.28;0.2533;0.28;0.2467
361;2;48;adam;0.01;100;16;0.28;0.33;0.28;0.2933
362;2;48;adam;0.01;150;16;0.36;0.58;0.36;0.4027
363;2;48;adam;0.01;200;16;0.36;0.48;0.36;0.3833
364;2;48;adam;0.05;50;16;0.2;0.1124;0.2;0.14
365;2;48;adam;0.05;100;16;0.32;0.36;0.32;0.3133
366;2;48;adam;0.05;150;16;0.36;0.38;0.36;0.3424
367;2;48;adam;0.05;200;16;0.28;0.3;0.28;0.28
368;2;48;adam;0.001;50;16;0.28;0.255;0.28;0.2523
369;2;48;adam;0.001;100;16;0.4;0.455;0.4;0.3923
370;2;48;adam;0.001;150;16;0.32;0.2857;0.32;0.2867
371;2;48;adam;0.001;200;16;0.4;0.455;0.4;0.3923
372;2;48;adam;0.005;50;16;0.32;0.32;0.32;0.3067
373;2;48;adam;0.005;100;16;0.36;0.34;0.36;0.3333
374;2;48;adam;0.005;150;16;0.44;0.56;0.44;0.4633
375;2;48;adam;0.005;200;16;0.44;0.48;0.44;0.4333
376;2;48;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
377;2;48;adam;0.0001;100;16;0.2;0.0455;0.2;0.0741
378;2;48;adam;0.0001;150;16;0.16;0.0421;0.16;0.0667
379;2;48;adam;0.0001;200;16;0.24;0.1862;0.24;0.1867
380;2;48;adam;0.0005;50;16;0.16;0.0421;0.16;0.0667
381;2;48;adam;0.0005;100;16;0.4;0.459;0.4;0.3933
382;2;48;adam;0.0005;150;16;0.32;0.2257;0.32;0.26
383;2;48;adam;0.0005;200;16;0.36;0.4133;0.36;0.3467
384;2;48;rmsprop;0.01;50;16;0.32;0.2533;0.32;0.2798
